x,y,solved,elbow_up
0.540,0.190,0,0
0.540,0.230,0,0
0.540,0.270,0,0
0.540,0.310,0,0
0.580,-0.250,0,0
0.580,-0.210,0,0
0.580,-0.170,0,0
0.580,-0.130,0,0
0.580,-0.090,0,0
0.580,-0.050,0,0
0.580,-0.010,0,0
0.580,0.030,0,0
0.580,0.070,0,0
0.580,0.110,0,0
0.580,0.150,0,0
0.580,0.190,0,0
0.580,0.230,0,0
0.580,0.270,0,0
0.580,0.310,0,0
0.620,-0.250,0,0
0.620,-0.210,0,0
0.620,-0.170,0,0
0.620,-0.130,0,0
0.620,-0.090,0,0
0.620,-0.050,0,0
0.620,-0.010,0,0
0.620,0.030,0,0
0.620,0.070,0,0
0.620,0.110,0,0
0.620,0.150,0,0
0.620,0.190,0,0
0.620,0.230,0,0
0.620,0.270,0,0
0.620,0.310,0,0
